sensorID,sensorName,Comment
ALBLW1,M900,ブロワサーマル(1号機)
ALBLW2,M920,ブロワINVトリップ(1号機)
ALBLW3,M901,1Wブロアーサーマル(1号機)
ALBLW4,M902,2Wブロアーサーマル(1号機)
ALBLW5,M903,3Wブロアーサーマル(1号機)
ALBLW6,,
ALBLW7,M921,1W ブロアINVトリップ(1号機)
ALBLW8,M922,2W ブロアINVトリップ(1号機)
ALBLW9,M923,3W ブロアINVトリップ(1号機)
ALBLWA,,
ALBLWB,,
ALBLWC,,
ALBLWD,,
ALBLWE,,
ALBLWF,,
ALBLWG,,
ALBLWH,,
ALBLWI,,
ALBUR1,,
ALBUR2,,
ALBUR3,,
ALCCL1,M992,異常解除(1号機)
ALCVM1,M950,コンベヤサーマル(1号機)
ALCVM2,M952,コンベヤINV(1号機)
ALCVM3,,
ALCVM4,,
ALDOR1,M326,扉開異常(1号機)
ALEMG1,M955,非常停止(1号機)
ALEMG2,,
ALEMG3,M990,異常停止(1号機)
ALEMG4,M9,異常ON(1号機)
ALGAS2,,
ALHTR1,M996,ヒータ過昇温異常(1号機)
ALHTR2,M980,過昇用温調節器TH2-11(1号機)
ALHTR3,M981,過昇用温調節器TH2-12(1号機)
ALHTR4,M982,過昇用温調節器TH2-13(1号機)
ALHTR5,M983,過昇用温調節器TH2-21(1号機)
ALHTR6,M984,過昇用温調節器TH2-22(1号機)
ALHTR7,M985,過昇用温調節器TH2-23(1号機)
ALHTR8,M986,過昇用温調節器TH2-31(1号機)
ALHTR9,M987,過昇用温調節器TH2-32(1号機)
ALHTRA,M988,過昇用温調節器TH2-33(1号機)
ALHTRB,,
ALHTRC,,
ALHTRD,,
ALHTRE,,
ALHTRF,,
ALHTRG,,
ALHTRH,,
ALHTRI,,
ALHTRJ,,
ALHTRK,,
ALHTRL,,
ALHTRM,,
ALHTRN,,
ALHTRO,,
ALHTRP,,
ALHTRQ,,
ALPLC1,,
ALPLC2,,
ALPLC3,,
ALPLC4,,
ALPLC5,,
ALPLC6,,
ALPLC7,,
ALPLC8,,
ALPLC9,,
ALPLCA,,
ALPLCB,,
ALPLCC,,
ALPLCD,D8004,PLCエラー発生(1号機)
ALPLCE,D8005,バッテリー電圧低下(1号機)
ALPLCF,D8006,バッテリー電圧低下ラッチ(1号機)
ALSTM1,,
ALSTM2,,
ALTMP1,,
ALTMP2,,
ALTMP3,,
ALWAT1,,
ALWAT2,,
CNBOL1,,
CNBOL2,,
CNHTR1,,
CNHTR2,,
CNHTR3,,
CNHTR4,,
CNPWR1,,
MVACT1,,
MVACT2,,
MVACT3,,
MVACT4,,
MVBOL1,,
MVTMP1,M171,温度達成(1号機)
MVTMP2,M17,余熱完了(1号機)
MVTMP3,M27,冷却完了(1号機)
MVTMP4,,
MVTMP5,,
PVBOL1,,
PVBOL2,,
PVCRT1,,
PVCRT2,,
PVCRT3,,
PVCRT4,,
PVDOR1,,
PVVLT1,,
PVHTR1,,
PVHTR2,,
PVHTR3,,
PVHTR4,,
PVPWR1,M8000,パワーＯＮ(1号機)
PVPWR2,,
PVTIM1,D6009,T加熱運転積算時間(s)(1号機)
PVTIM2,D6001,加熱運転積算時間(s)(1号機)
PVTIM3,D6002,加熱運転積算時間(m)(1号機)
PVTIM4,D6003,加熱運転積算時間(h)(1号機)
PVTIM5,D6004,加熱時間積算時間 回(1号機)
PVTIM6,,
PVTIM7,,
PVTIM8,,
PVTIM9,,
PVTMP1,D1121,1W現在温度(1号機)
PVTMP2,D1122,2W現在温度(1号機)
PVTMP3,D1123,3W現在温度(1号機)
PVTMP4,,
SVTMP1,D1200,1W設定温度(1号機)
SVTMP2,D1210,2W設定温度(1号機)
SVTMP3,D1220,3W設定温度(1号機)
SVTMP4,,
SVTMP5,D1205,1W手動設定温度(1号機)
SVTMP6,D1215,2W手動設定温度(1号機)
SVTMP7,D1225,3W手動設定温度(1号機)
